"","packet","WiFiArrivalTimes","LTEArrivalTimes","WiFiDelayPackets","LTEDelayPackets","WiFiSentTimes","LTESentTimes","InterArrivals","InterArrivalRevs","feedbackreceivedWiFi","feedbackreceivedLTE"
"1",1,0.0819141222629315,0.237619876862,0.0758731222629353,0.237619876862,0.00604099999999619,0,0,0,0.157787244525867,0.475239753724
"2",2,0.090637176874165,0.287573927521002,0.0636591768741653,0.266624927521,0.0269779999999997,0.0209490000000017,-0.146982699987835,0.20565980525807,0.15429635374833,0.554198855042002
"3",3,0.113411090173724,0.335421797210999,0.0654210901737253,0.293389797211,0.0479899999999986,0.042031999999999,-0.174162837347278,0.244784620336834,0.178832180347449,0.628811594421999
"4",4,0.132113152002333,0.374406911484003,0.0631141520023353,0.311240911484,0.068998999999998,0.0631660000000025,-0.203308645208666,0.260995821310279,0.195227304004669,0.685647822968003
"5",5,0.152887037775043,0.408415848235998,0.0630650377750453,0.324185848236,0.0898219999999981,0.084229999999998,-0.221519873708959,0.276302696233665,0.215952075550089,0.732601696471998
"6",6,0.174076136896135,0.44243785968,0.0634541368961353,0.33718585968,0.110621999999999,0.105252,-0.234339711339863,0.289550821904957,0.23753027379227,0.77962371936
"7",7,0.201681024454116,0.471333062561002,0.0701830244541153,0.345025062561,0.131498000000001,0.126308000000002,-0.240756835225884,0.297256925664867,0.271864048908231,0.816358125122002
"8",8,0.222639240533837,0.498426097732997,0.0703072405338353,0.351020097733,0.152332000000001,0.147405999999997,-0.248693822027165,0.296745073278881,0.292946481067672,0.849446195465997
"9",9,0.236423054971695,0.522394028351001,0.0631830549716953,0.353497028351,0.17324,0.168897000000001,-0.262003042761301,0.299754787817165,0.29960610994339,0.875891056702001
"10",10,0.256189093179702,0.543081923325001,0.0625440931797053,0.353524923325,0.193644999999997,0.189557000000001,-0.266204935171299,0.306658868353305,0.318733186359407,0.896606846650001
"11",11,0.276572155496597,0.570362915145997,0.0626251554965993,0.360400915146,0.213946999999997,0.209961999999997,-0.266509767828404,0.314173821966295,0.339197310993196,0.930763830291997
"12",12,0.297308233804702,0.583190089661002,0.0627882338047053,0.352559089661,0.234519999999996,0.230631000000002,-0.273054681341296,0.306617934164406,0.360096467609407,0.935749179322003
"13",13,0.31799010961342,0.605225833526999,0.0628371096134203,0.353809833527,0.255153,0.251415999999999,-0.265199980047582,0.307917599722297,0.380827219226841,0.959035667053999
"14",14,0.338542060876849,0.619249719924996,0.0627660608768483,0.347054719925,0.275776,0.272194999999996,-0.26668377265015,0.301259610311576,0.401308121753697,0.966304439849996
"15",15,0.358746002939222,0.630422911712996,0.0626180029392263,0.337750911713,0.296127999999996,0.292671999999996,-0.260503716985774,0.291880850836147,0.421364005878449,0.968173823425996
"16",16,0.379777305002217,0.644460044968,0.0633323050022153,0.331248044968,0.316445000000002,0.313212,-0.250645606710779,0.285714042028778,0.443109610004432,0.975708089936
"17",17,0.399405328424452,0.657254980301002,0.0626473284244563,0.323580980301,0.336757999999996,0.333674000000002,-0.245054716543548,0.277477675298785,0.462052656848909,0.980835960602002
"18",18,0.419855969430921,0.669329039703002,0.0628039694309253,0.315268039703,0.357051999999996,0.354061000000002,-0.237399010870081,0.269923711278549,0.482659938861846,0.984597079406001
"19",19,0.440321213876722,0.682411888854999,0.0629842138767253,0.307993888855,0.377336999999997,0.374417999999999,-0.229007825826279,0.262555919424077,0.503305427753448,0.990405777709999
"20",20,0.462155103830331,0.695134851348998,0.0638511038303353,0.300346851349,0.398303999999996,0.394787999999998,-0.220256785024667,0.254813637472276,0.526006207660667,0.995481702697998
"21",21,0.482376006235124,0.708353107787999,0.0631120062351253,0.292776107788,0.419263999999998,0.415576999999999,-0.212758845113875,0.246198003957668,0.545488012470249,1.001129215576
"22",22,0.502947252206805,0.719494864563001,0.0629422522068053,0.282940864563,0.440004999999999,0.436554000000001,-0.205405855581194,0.237118858327877,0.56588950441361,1.002435729126
"23",23,0.523788989038463,0.730114081496999,0.0629939890384653,0.271619081497,0.460794999999997,0.458494999999999,-0.195705875524538,0.227166829290195,0.586782978076928,1.001733162994
"24",24,0.544996155176167,0.737783896239996,0.0630111551761653,0.25817489624,0.481985000000002,0.479608999999996,-0.185117926320832,0.213994907201534,0.608007310352332,0.995958792479996
"25",25,0.566405140512464,0.746729867843999,0.0635621405124653,0.246250867844,0.502842999999999,0.500478999999999,-0.171378755727532,0.201733712667832,0.629967281024929,0.992980735687998
