"","packet","WiFiArrivalTimes","LTEArrivalTimes","WiFiDelayPackets","LTEDelayPackets","WiFiSentTimes","LTESentTimes","InterArrivals","InterArrivalRevs","feedbackreceivedWiFi","feedbackreceivedLTE"
"1",1,0.00293309739685018,0.21553595161426,0.00272209739685,0.21553595161426,0.000211000000000183,0,0,0,0.00565519479370018,0.43107190322852
"2",2,0.0148810844573979,0.255370017303258,0.0019400844574,0.24578101730326,0.0129409999999979,0.00958899999999829,-0.200654867156862,0.252436919906408,0.0168211689147979,0.501151034606518
"3",3,0.0269409059448175,0.289240124435261,0.00194890594482,0.26777012443526,0.0249919999999975,0.0214700000000008,-0.228429111358441,0.274359039977863,0.0288898118896375,0.557010248870521
"4",4,0.0384920189666691,0.313140159500262,0.00196201896667,0.27910215950026,0.0365299999999991,0.0340380000000025,-0.250748105468592,0.286199253555445,0.0404540379333391,0.592242319000522
"5",5,0.0512230844574026,0.336176245956258,0.0019400844574,0.29177124595626,0.0492830000000026,0.0444049999999976,-0.26191707504286,0.297684226989589,0.0531631689148026,0.627947491912518
"6",6,0.064020912734979,0.356219115356263,0.00195391273498,0.29954011535626,0.062066999999999,0.0566790000000026,-0.272155333221279,0.30499603089886,0.065974825469959,0.655759230712523
"7",7,0.0748941894836432,0.37919804418926,0.00191218948364,0.31086404418926,0.0729820000000032,0.0683340000000001,-0.281324925872619,0.315177131454281,0.0768063789672832,0.69006208837852
"8",8,0.0877750788726831,0.394181198364263,0.00197107887268,0.31487519836426,0.0858040000000031,0.0793060000000025,-0.291422965316577,0.319287008880619,0.0897461577453631,0.709056396728523
"9",9,0.098412099243161,0.40924197044326,0.00198609924316,0.31934197044326,0.096426000000001,0.0899000000000001,-0.295769099121102,0.321466891570577,0.100398198486321,0.72858394088652
"10",10,0.108696125198362,0.425209101318262,0.00197012519836,0.32463510131826,0.106726000000002,0.100574000000002,-0.300545845244898,0.326797002075101,0.110666250396722,0.749844202636522
"11",11,0.121524152359012,0.439205191482261,0.00199015235901,0.32614119148226,0.119534000000002,0.113064000000001,-0.30368494895925,0.3305090662839,0.123514304718022,0.765346382964521
"12",12,0.134260967056269,0.454095074936263,0.00199396705627,0.33037407493626,0.132266999999999,0.123721000000003,-0.304944224425993,0.332570922577252,0.136254934112539,0.784469149872523
"13",13,0.145086952270508,0.468249178482261,0.00194795227051,0.33287317848226,0.143138999999998,0.135376000000001,-0.309008122665755,0.333988211425992,0.147034904541018,0.801122356964521
"14",14,0.155802099243159,0.484157070892258,0.00198609924316,0.33598907089226,0.153815999999999,0.148167999999998,-0.312447079239102,0.33907011862175,0.157788198486319,0.820146141784518
"15",15,0.165985058502199,0.499238096618257,0.0019560585022,0.34071309661826,0.164028999999999,0.158524999999997,-0.318172012390059,0.343435997375098,0.167941117004399,0.839951193236517
"16",16,0.176974085662842,0.524127190109257,0.00197608566284,0.35458119010926,0.174998000000002,0.169545999999997,-0.322264010955415,0.358142131607058,0.178950171325682,0.878708380218517
"17",17,0.187256953475952,0.541342101532261,0.00198395347595,0.36083610153226,0.185273000000002,0.180506000000001,-0.336870236633305,0.364368015869419,0.189240906951902,0.902178203064521
"18",18,0.199819025756837,0.56019104646326,0.00196702575684,0.36690504646326,0.197851999999997,0.193286000000001,-0.341523075775424,0.372934092987308,0.201786051513677,0.927096092926521
