"","packet","WiFiArrivalTimes","LTEArrivalTimes","WiFiDelayPackets","LTEDelayPackets","WiFiSentTimes","LTESentTimes","InterArrivals","InterArrivalRevs","feedbackreceivedWiFi"
"1",1,0.0712719530487018,0.0195119380951,0.0692069530487,0.0195119380951,0.00206500000000176,0,0,0,0.140478906097402
"2",2,0.0691342225799984,0.0293919759827033,0.05925822258,0.0192589759827,0.00987599999999844,0.0101330000000033,0.0496222844848984,-0.0418799770659985,0.128392445159998
"3",3,0.0694099318236973,0.0399062140807979,0.0493879318237,0.0196452140808,0.0200219999999973,0.0202609999999979,0.040017955840994,-0.0292280084992006,0.118797863647397
"4",4,0.0696199833069013,0.0490551747436975,0.0394539833069,0.0186681747437,0.0301660000000012,0.0303869999999975,0.0297137692261034,-0.0203547570799998,0.109073966613801
"5",5,0.0698331342315981,0.0588800057525997,0.0295231342316,0.0183680057526,0.0403099999999981,0.0405119999999997,0.0207779594879006,-0.0107399775543016,0.0993562684631981
"6",6,0.0700650738982974,0.0778780379180993,0.0196120738983,0.0272400379181,0.0504529999999974,0.0506379999999993,0.0111850681456978,0.00804490368650124,0.0896771477965974
"7",7,0.0702951525421113,0.0784972891693015,0.00969815254211,0.0177342891693,0.0605970000000013,0.0607630000000015,-0.00758288537598796,0.00843221527100405,0.0799933050842213
"8",8,0.0777260948791532,0.0897430949097036,0.00698709487915,0.0188550949097,0.0707390000000032,0.0708880000000036,-0.000771194290148242,0.0194479423675923,0.0847131897583032
"9",9,0.087731004196168,0.0984430670623987,0.00685000419617,0.0174300670624,0.080880999999998,0.0810129999999987,-0.00201209071353563,0.0207169721832454,0.094581008392338
"10",10,0.0981521923522898,0.118756169784501,0.00712919235229,0.0276181697845,0.0910229999999999,0.0911380000000008,-0.000290874710108815,0.0310251655883328,0.10528138470458
"11",11,0.108177221481324,0.124168111312903,0.00701022148132,0.0229051113129,0.101167000000004,0.101263000000003,-0.0105789483031771,0.0260159189606131,0.115187442962644
"12",12,0.118469087326048,0.129300149429298,0.00715708732605,0.0179121494293,0.111311999999998,0.111387999999998,-0.00569902398685491,0.0211229279479743,0.125626174652098
"13",13,0.12885403585815,0.1401733069305,0.00740003585815,0.0186603069305,0.121454,0.121513,-0.000446113571148099,0.0217042196044521,0.1362540717163
"14",14,0.138616996643069,0.159902045715302,0.00701999664307,0.0282640457153,0.131596999999999,0.131638000000002,-0.00155631028743092,0.0310480098571524,0.145636993286139
"15",15,0.148743261016851,0.160775073776198,0.00700426101685,0.0190150737762,0.141739000000001,0.141759999999998,-0.0111587846984512,0.0221580771331286,0.155747522033701
"16",16,0.159390231567383,0.169557187316903,0.00750923156738,0.0176591873169,0.151881000000003,0.151898000000003,-0.00138484220881482,0.0208139263000516,0.166899463134763
"17",17,0.16927095075989,0.179455979995702,0.00723195075989,0.0174009799957,0.162039,0.162055000000002,-0.000286236557012709,0.0200657484283192,0.17650290151978
"18",18,0.179703132125847,0.199497045913699,0.00750613212585,0.0272810459137,0.172196999999997,0.172215999999999,0.000247152130144757,0.0302260951538088,0.187209264251697
"19",19,0.190210156555179,0.200163152603104,0.00784015655518,0.0178091526031,0.182369999999999,0.182354000000004,-0.00928688935852001,0.0204600204772566,0.198050313110359
"20",20,0.200445073104861,0.209649242721603,0.00791907310486,0.0171382427216,0.192526000000001,0.192511000000003,0.000281920501757182,0.0194390861664244,0.208364146209721
"21",21,0.209924269454963,0.2195370477753,0.00725626945496,0.0168540477753,0.202668000000003,0.202683,0.000275026733359524,0.0190919746704395,0.217180538909923
"22",22,0.219843228271482,0.239570100112899,0.00701522827148,0.0267241001129,0.212828000000002,0.212845999999999,0.000306180496181391,0.0296458306579362,0.226858456542962
"23",23,0.230068223892209,0.240918202545201,0.00708222389221,0.0179162025452,0.222985999999999,0.223002000000001,-0.00950187622069018,0.0210749742737192,0.237150447784419
"24",24,0.240184931152338,0.250039273819001,0.00704193115234,0.016880273819,0.233142999999998,0.233159000000001,-0.000733271392862694,0.0199710499267917,0.247226862304678
"25",25,0.250329056549068,0.259619016113303,0.00702905654907,0.0163040161133,0.243299999999998,0.243315000000003,0.000289782730067301,0.0194340849609643,0.257358113098138
"26",26,0.260464022598267,0.279475022888202,0.00700402259827,0.0260000228882,0.253459999999997,0.253475000000002,0.000845006484964272,0.0291459663391339,0.267468045196537
"27",27,0.270724151611328,0.280652013061503,0.00709915161133,0.0170040130615,0.263624999999998,0.263648000000003,-0.00875087127687413,0.0201879904632365,0.277823303222658
"28",28,0.280928205932621,0.2918340208588,0.00713920593262,0.0180280208588,0.273789000000001,0.273806,0.000276192871117298,0.0211098692474729,0.288067411865241
"29",29,0.291089113281252,0.301530204070997,0.00714111328125,0.017566204071,0.283948000000002,0.283963999999997,-0.000744907577548137,0.0206019981383767,0.298230226562502
"30",30,0.301249212722782,0.320214244552597,0.00714421272278,0.0260932445526,0.294105000000002,0.294120999999997,-0.000280991348215631,0.0291251312713446,0.308393425445562
"31",31,0.311347038589477,0.320908126403799,0.00708603858948,0.0166311264038,0.304260999999997,0.304276999999999,-0.00886720596312018,0.0196589136810172,0.318433077178957
"32",32,0.321452109664921,0.331739135726899,0.00703310966492,0.0173051357269,0.314419000000001,0.314433999999999,0.000543983261121872,0.0203920971374218,0.328485219329841
"33",33,0.332020090179437,0.345275997039797,0.00744009017944,0.0206789970398,0.324579999999997,0.324596999999997,0.00028095445253884,0.0238238873748763,0.339460180358877
"34",34,0.341836197937012,0.359475999862703,0.00709819793701,0.0247189998627,0.334738000000002,0.334757000000003,-0.00343979910278563,0.0274559096832659,0.348934395874022
"35",35,0.351993177566529,0.362465018768301,0.00708317756653,0.0175700187683,0.344909999999999,0.344895000000001,-0.00748282229617458,0.0206288208312895,0.359076355133059
"36",36,0.362189086120613,0.372366241958598,0.00712108612061,0.0173132419586,0.355068000000003,0.355052999999998,-0.000275932647688215,0.0203730643920694,0.369310172241223
"37",37,0.37263914888,0.382871140991202,0.00741314888,0.0176601409912,0.365226,0.365211000000002,0.00027290692140175,0.0206820548705893,0.38005229776
"38",38,0.382570128067019,0.399560333221402,0.00718712806702,0.0241923332214,0.375382999999999,0.375368000000002,-0.000301012924182831,0.0269211843414019,0.389757256134039
"39",39,0.392700902023319,0.403093065094004,0.00716090202332,0.017569065094,0.385539999999999,0.385524000000004,-0.00685943119808285,0.0205229370269844,0.399861804046639
"40",40,0.402806092910769,0.413256191696204,0.00712609291077,0.0175921916962,0.395679999999999,0.395664000000004,-0.00028697218323509,0.0205552896728847,0.409932185821539
"41",41,0.412956132446291,0.421954069992103,0.00712013244629,0.0161330699921,0.405836000000001,0.405821000000003,-0.000300059249912832,0.0191479770813344,0.420076264892581
"42",42,0.42345717045593,0.439885184600803,0.00746417045593,0.0239071846008,0.415993,0.415978000000003,0.00150310046382718,0.0269290521545119,0.43092134091186
"43",43,0.43324009170532,0.441145118484502,0.00709009170532,0.0150101184845,0.42615,0.426135000000002,-0.00664509289548282,0.0176879480285719,0.44033018341064
